Amphi,Position,Latitude,Longitude,Accuracy_m,Altitude_m
3,3,36.6883271,2.8663525,21.2,181.3
3,3,36.6883274,2.8663169,20.5,181.2
3,3,36.6883218,2.8663166,36.6,181.3
3,3,36.6883229,2.8663237,21.8,178.2
3,3,36.6883205,2.8663291,37.1,176.8
3,3,36.6883214,2.8663304,92.9,181.3
3,3,36.6883252,2.866278,100.4,181.3
3,3,36.688344,2.8664724,87.6,177.1
3,3,36.6883431,2.8665054,29.7,177.3
3,3,36.6883442,2.8665149,29.9,177.3
3,3,36.6883452,2.8665125,31.6,181.3
3,3,36.6883486,2.8665082,31.8,181.3
3,3,36.688346,2.8664984,77.6,181.3
3,3,36.6883124,2.8662985,47.2,176.5
3,3,36.6882934,2.8662434,51.4,181.3
3,3,36.6883019,2.866202,22.1,181.2
3,3,36.6882987,2.8662013,38.5,176.5
3,3,36.6883059,2.8661801,16.0,178.0
3,3,36.6883091,2.8661883,12.1,181.3
3,3,36.6883091,2.866194,287.9,181.3
3,3,36.6883092,2.8662003,92.9,181.2
3,3,36.6883119,2.8662298,82.5,177.1
3,3,36.6883089,2.8662287,56.1,181.3
3,3,36.6882998,2.8661858,72.9,176.5
3,3,36.6883092,2.8662612,82.5,177.1
3,3,36.6883249,2.8663813,82.5,177.1
3,3,36.6883205,2.86628,32.4,181.2
3,3,36.6883144,2.8662882,32.9,177.4
3,3,36.6883143,2.8662953,33.0,177.3
3,3,36.6883107,2.8663079,19.2,177.4
3,3,36.6883068,2.8663073,15.5,181.2
3,3,36.6883096,2.8662859,11.0,177.4
3,3,36.6883098,2.8662898,11.5,177.4
3,3,36.6883123,2.8663107,23.0,177.3
3,3,36.6883096,2.8663187,39.0,177.3
3,3,36.6880605,2.8664618,100.0,177.3
3,3,36.6880991,2.8663841,77.6,181.2
3,3,36.6880592,2.8663832,343.0,181.2
3,3,36.6873732,2.8668151,100.0,181.2
3,3,36.686736,2.8664822,100.0,181.2
3,3,36.6874783,2.8663649,87.6,181.3
3,3,36.6878751,2.8663689,92.9,177.1
3,3,36.6882033,2.8664271,82.5,177.1
3,3,36.6883518,2.8664613,82.5,177.1
3,3,36.6885151,2.8664721,347.1,177.1
3,3,36.6884495,2.8662684,82.5,181.3
3,3,36.6872923,2.865241,60.7,181.3
3,3,36.6868303,2.8648505,60.8,181.3
3,3,36.6867136,2.8647763,21.6,181.3
3,3,36.6866459,2.864716,35.6,181.3
3,3,36.6865424,2.8650986,100.0,181.3
3,3,36.6872361,2.8657005,87.6,181.3
3,3,36.6874351,2.8659481,311.4,181.3
3,3,36.6871685,2.8667611,100.0,181.3
3,3,36.687013,2.8667414,100.0,181.3
3,3,36.6869096,2.8666864,100.0,181.3
3,3,36.6868409,2.8666103,100.0,181.3
4,1,36.6882604,2.8661008,14.4,176.4
4,1,36.6882773,2.8661268,13.6,176.4
4,1,36.6882831,2.866124,13.4,176.4
4,1,36.6883392,2.8660736,15.9,176.5
4,1,36.6883493,2.866073,27.3,176.4
4,1,36.6883145,2.8660801,12.8,176.4
4,1,36.688306,2.8660923,11.6,176.4
4,1,36.6883059,2.8660927,10.3,176.4
4,1,36.6883013,2.8661051,8.7,176.4
4,1,36.6882986,2.8661081,7.9,176.5
4,1,36.6882916,2.8661131,7.7,176.4
4,1,36.6882916,2.8661136,8.0,176.4
4,1,36.6882917,2.8661141,8.6,176.4
4,1,36.6882914,2.8661102,9.6,176.4
4,1,36.6882891,2.8661108,9.4,176.5
4,1,36.6882891,2.8661106,8.5,176.5
4,1,36.6882839,2.8661104,8.2,176.5
4,1,36.688279,2.8661011,8.1,176.4
4,1,36.6882748,2.8660997,8.1,176.4
4,1,36.6882757,2.8661033,7.7,176.5
4,1,36.6882837,2.8660981,7.4,176.5
4,1,36.6882844,2.8660972,7.5,176.4
4,1,36.6882847,2.8661021,7.2,176.5
4,1,36.6882843,2.8660965,6.0,176.5
4,1,36.6882827,2.8661,5.6,176.5
4,1,36.6882827,2.8661002,5.6,176.5
4,1,36.6882871,2.8660971,5.4,176.5
4,1,36.6882876,2.8660968,5.2,176.5
4,1,36.6882877,2.8660967,5.2,176.4
4,1,36.6882885,2.8661007,5.1,176.4
4,1,36.688289,2.8661038,4.8,176.4
4,1,36.6882884,2.8661068,4.5,176.4
4,1,36.6882859,2.8661068,4.5,176.4
4,1,36.6882847,2.8661074,4.5,176.7
4,1,36.6882825,2.8661086,4.4,176.4
